id,title,genres,description,year
1,3 Idiots,comedy|drama,Two friends search for their long-lost college buddy while remembering their days at engineering college.,2009
2,Dangal,biography|sports,Former wrestler trains his daughters to become world-class wrestlers.,2016
3,Sholay,action|adventure|drama,Two ex-convicts are hired by a retired policeman to capture a ruthless bandit.,1975
4,Lagaan,drama|sports,Villagers challenge British officers to a cricket match to avoid taxes.,2001
5,Queen,drama|comedy,A young woman goes on her honeymoon alone and rediscovers herself.,2014
6,Kabhi Khushi Kabhie Gham,drama|family,An affluent family faces tensions when a son marries against his father's wishes.,2001
7,Barfi!,romance|comedy,A charming mute man falls for two women in this heartwarming story.,2012
8,Gangs of Wasseypur,crime|drama,An epic tale of power struggles and vengeance in coal mafia of India.,2012
9,Don,action|thriller,A ruthless underworld kingpin's role is taken by an impostor in a high-stakes game.,2006
10,Kaho Naa... Pyaar Hai,romance|musical,Young lovers face obstacles when fate separates them and mystery unfolds.,2000
11,Zindagi Na Milegi Dobara,drama|adventure,Three friends embark on a road trip that changes their lives.,2011
12,Dilwale Dulhania Le Jayenge,romance|drama,Two lovers must overcome family opposition to be together.,1995
13,Baahubali: The Beginning,action|fantasy,An epic story of a man with mysterious origins who grows to be a mighty warrior.,2015
14,Mughal-e-Azam,drama|historical,A prince's love for a court dancer leads to conflict with his father, the emperor.,1960
15,Taare Zameen Par,drama|family,An art teacher helps a dyslexic child find confidence and creativity.,2007
16,Hum Aapke Hain Koun..!,romance|family,Celebration of family relationships and love,1994
17,Kuch Kuch Hota Hai,romance|drama,College romance and reunion story,1998
18,Munnabhai M.B.B.S.,comedy|drama,A lovable goon pretends to be a doctor to make his mother proud,2003
19,Piku,drama|comedy,A daughter cares for her elderly father on a road trip,2015
20,Badhaai Ho,comedy|drama,A middle-aged couple's unexpected pregnancy shakes their family,2018
21,Padmaavat,drama|historical,An epic tale of love and honor in medieval India,2018
22,Bajrangi Bhaijaan,drama|adventure,A man helps a mute girl return to her home across the border,2015
23,PK,comedy|drama,An alien questions human beliefs and rituals,2014
24,My Name Is Khan,drama|romance,A man with Asperger's travels to meet the US President,2010
25,Rock On!!,musical|drama,Reunited band members revive their passion for music,2008
26,Dil Chahta Hai,drama|comedy,Three friends navigate love and life after college,2001
27,Veer-Zaara,romance|drama,A cross-border love story between an Indian man and a Pakistani woman,2004
28,Om Shanti Om,romance|musical,An aspiring actor is reincarnated to avenge his death,2007
29,Bhaag Milkha Bhaag,biography|sports,The life of an Indian Olympian and his struggles,2013
30,A Wednesday,thriller|crime,An ordinary man orchestrates events to expose terrorists,2008
31,Tanhaji,action|historical,A warrior fights to protect his kingdom and honor,2020
32,Secret Superstar,drama|music,A young girl aspires to be a singer against family opposition,2017
33,Sultan,drama|sports,A wrestler's comeback to win redemption and love,2016
34,Chak De! India,sports|drama,A former player coaches the women's hockey team to victory,2007
35,Kal Ho Naa Ho,romance|drama,A man brings joy and change to a family's life with a hidden illness,2003
36,Andaz Apna Apna,comedy|romance,Two slackers compete to win an heiress's heart in a comic caper,1994
37,Ek Tha Tiger,action|thriller,An undercover agent falls in love with a woman from an enemy agency,2012
38,Tiger Zinda Hai,action|thriller,Two agents undertake a daring rescue mission,2017
39,Swades,drama|social,An NRI returns to India and works to bring electricity to his village,2004
40,Guide,romance|drama,A tourist guide's complex relationship leads to tragedy and redemption,1965
41,Black,drama|biography,A teacher helps a deaf-blind girl discover the world,2005
42,Rang De Basanti,drama|political,Young friends awaken to social responsibility after tragedy,2006
43,Saathiya,romance|drama,Newlyweds face challenges that test their love,2002
44,Kahaani,thriller|mystery,A pregnant woman searches for her missing husband in Kolkata,2012
45,Badlapur,crime|drama,A man seeks vengeance after a tragic loss,2015
46,Paan Singh Tomar,biography|crime,An athlete becomes a rebel due to neglect and injustice,2012
47,Drishyam,thriller|drama,A man protects his family from investigative authorities,2015
48,Special 26,crime|drama,A group of con men pull off clever heists posing as officials,2013
49,Airlift,drama|thriller,An evacuation of Indians from a war zone led by a businessman,2016
50,Jab We Met,romance|comedy,A young woman changes a man's life during a life-changing train journey,2007id,title,genres,description,year
1,3 Idiots,comedy|drama,Two friends search for their long-lost college buddy while remembering their days at engineering college.,2009
2,Dangal,biography|sports,Former wrestler trains his daughters to become world-class wrestlers.,2016
3,Sholay,action|adventure|drama,Two ex-convicts are hired by a retired policeman to capture a ruthless bandit.,1975
4,Lagaan,drama|sports,Villagers challenge British officers to a cricket match to avoid taxes.,2001
5,Queen,drama|comedy,A young woman goes on her honeymoon alone and rediscovers herself.,2014
6,Kabhi Khushi Kabhie Gham,drama|family,An affluent family faces tensions when a son marries against his father's wishes.,2001
7,Barfi!,romance|comedy,A charming mute man falls for two women in this heartwarming story.,2012
8,Gangs of Wasseypur,crime|drama,An epic tale of power struggles and vengeance in coal mafia of India.,2012
9,Don,action|thriller,A ruthless underworld kingpin's role is taken by an impostor in a high-stakes game.,2006
10,Kaho Naa... Pyaar Hai,romance|musical,Young lovers face obstacles when fate separates them and mystery unfolds.,2000
11,Zindagi Na Milegi Dobara,drama|adventure,Three friends embark on a road trip that changes their lives.,2011
12,Dilwale Dulhania Le Jayenge,romance|drama,Two lovers must overcome family opposition to be together.,1995
13,Baahubali: The Beginning,action|fantasy,An epic story of a man with mysterious origins who grows to be a mighty warrior.,2015
14,Mughal-e-Azam,drama|historical,A prince's love for a court dancer leads to conflict with his father, the emperor.,1960
15,Taare Zameen Par,drama|family,An art teacher helps a dyslexic child find confidence and creativity.,2007
16,Hum Aapke Hain Koun..!,romance|family,Celebration of family relationships and love,1994
17,Kuch Kuch Hota Hai,romance|drama,College romance and reunion story,1998
18,Munnabhai M.B.B.S.,comedy|drama,A lovable goon pretends to be a doctor to make his mother proud,2003
19,Piku,drama|comedy,A daughter cares for her elderly father on a road trip,2015
20,Badhaai Ho,comedy|drama,A middle-aged couple's unexpected pregnancy shakes their family,2018
21,Padmaavat,drama|historical,An epic tale of love and honor in medieval India,2018
22,Bajrangi Bhaijaan,drama|adventure,A man helps a mute girl return to her home across the border,2015
23,PK,comedy|drama,An alien questions human beliefs and rituals,2014
24,My Name Is Khan,drama|romance,A man with Asperger's travels to meet the US President,2010
25,Rock On!!,musical|drama,Reunited band members revive their passion for music,2008
26,Dil Chahta Hai,drama|comedy,Three friends navigate love and life after college,2001
27,Veer-Zaara,romance|drama,A cross-border love story between an Indian man and a Pakistani woman,2004
28,Om Shanti Om,romance|musical,An aspiring actor is reincarnated to avenge his death,2007
29,Bhaag Milkha Bhaag,biography|sports,The life of an Indian Olympian and his struggles,2013
30,A Wednesday,thriller|crime,An ordinary man orchestrates events to expose terrorists,2008
31,Tanhaji,action|historical,A warrior fights to protect his kingdom and honor,2020
32,Secret Superstar,drama|music,A young girl aspires to be a singer against family opposition,2017
33,Sultan,drama|sports,A wrestler's comeback to win redemption and love,2016
34,Chak De! India,sports|drama,A former player coaches the women's hockey team to victory,2007
35,Kal Ho Naa Ho,romance|drama,A man brings joy and change to a family's life with a hidden illness,2003
36,Andaz Apna Apna,comedy|romance,Two slackers compete to win an heiress's heart in a comic caper,1994
37,Ek Tha Tiger,action|thriller,An undercover agent falls in love with a woman from an enemy agency,2012
38,Tiger Zinda Hai,action|thriller,Two agents undertake a daring rescue mission,2017
39,Swades,drama|social,An NRI returns to India and works to bring electricity to his village,2004
40,Guide,romance|drama,A tourist guide's complex relationship leads to tragedy and redemption,1965
41,Black,drama|biography,A teacher helps a deaf-blind girl discover the world,2005
42,Rang De Basanti,drama|political,Young friends awaken to social responsibility after tragedy,2006
43,Saathiya,romance|drama,Newlyweds face challenges that test their love,2002
44,Kahaani,thriller|mystery,A pregnant woman searches for her missing husband in Kolkata,2012
45,Badlapur,crime|drama,A man seeks vengeance after a tragic loss,2015
46,Paan Singh Tomar,biography|crime,An athlete becomes a rebel due to neglect and injustice,2012
47,Drishyam,thriller|drama,A man protects his family from investigative authorities,2015
48,Special 26,crime|drama,A group of con men pull off clever heists posing as officials,2013
49,Airlift,drama|thriller,An evacuation of Indians from a war zone led by a businessman,2016
50,Jab We Met,romance|comedy,A young woman changes a man's life during a life-changing train journey,2007